Hero,Position1,Position2,iMage,Health points,Physical attack,Spell Defense,Speed,Physical reduction rate,Power reduction rate,Critical strike effect,Area of effect,Health regeneration,Physical defense,Critical strike rate, Mana Regeneration,Maximum mana,Spell attack
Cao Cao,Warrior,,https://img.18183.com/uploads/allimg/190929/266-1Z9291QQ0.jpg,3531,174,50,380,14.70%,7.60%,200,short-distance,54,104,0%,0,0,0
Baili Shouyue,Archer,Assassin,https://img.18183.com/uploads/allimg/200309/266-2003091Q324.jpg,3182,161,50,350,12.50%,7.60%,0,long-distance,41,86,200%,16,440,0
Bian Que,Mage,,https://img.18183.com/uploads/allimg/190926/266-1Z9261PA8.jpg,3205,168,50,350,12.60%,7.60%,200,long-distance,45,87,0%,18,490,0
Wang Zhaojun,Mage,,https://img.18183.com/uploads/allimg/190927/266-1Z92GJ157.jpg,3083,165,50,350,13.10%,7.60%,200,long-distance,44,91,0%,17,490,0
Liu Bei,Warrior,,https://img.18183.com/uploads/allimg/200122/266-2001221JZ3.jpg,3081,169,50,350,12.70%,7.60%,200,long-distance,38,88,0%,15,440,0
Daqiao,Support,,https://img.18183.com/uploads/allimg/200309/266-2003091I335.jpg,2958,159,50,360,13.40%,7.60%,200,long-distance,42,93,0%,17,470,0
Xishi,Mage,,https://img.18183.com/uploads/allimg/190924/266-1Z924120G1.jpg,3041,164,50,360,13.10%,7.60%,200,long-distance,43,91,0%,17,490,0
Yingzheng,Mage,,https://img.18183.com/uploads/allimg/190927/266-1Z92GH115-50.jpg,3125,157,50,350,13.10%,7.60%,200,long-distance,44,91,0%,17,490,0
Shangguan Wan'er,Mage,Assassin,https://img.18183.com/uploads/allimg/200309/266-2003091A548.jpg,3215,152,50,396,12.60%,7.60%,0,long-distance,46,79,0%,15,440,0
Guan Yu,Warrior,,https://img.18183.com/uploads/allimg/200311/266-2003111P527.jpg,3322,170,50,380,14.40%,7.60%,200,short-distance,51,101,0%,0,10,0
Dian Wei,Warrior,,https://img.18183.com/uploads/allimg/190920/266-1Z9201Q412.jpg,3434,168,50,370,12.90%,7.60%,200,short-distance,52,89,0%,16,430,0
Hua Mulan,Warrior,Assassin,https://img.18183.com/uploads/allimg/191025/266-1910251S100.jpg,2886,170,50,380,12.50%,7.60%,200,short-distance,44,86,0%,0,0,0
Kuangtie,Warrior,,https://img.18183.com/uploads/allimg/200312/266-2003121I020.jpg,3263,166,50,380,13.60%,7.60%,200,short-distance,50,95,0%,0,90,0
Nezha,Warrior,,https://img.18183.com/uploads/allimg/200305/266-2003051PH0.jpg,3483,159,50,380,14.10%,7.60%,200,short-distance,53,99,0%,16,450,0
Irene,Archer,,http://img.18183.com/uploads/allimg/170307/36-1F30GT521.jpg,3182,161,50,350,12.50%,7.60%,200,long-distance,41,86,0%,16,440,0
Wu Zetian,Mage,,https://img.18183.com/uploads/allimg/190927/266-1Z92GH635-50.jpg,2860,173,50,350,13.60%,7.60%,200,long-distance,40,95,0%,18,490,0
Liu Bang,Tank,Support,https://img.18183.com/uploads/allimg/200311/266-2003111KQ1.jpg,3369,158,50,380,17.20%,7.60%,200,short-distance,58,125,0%,17,470,0
Kai,Warrior,Tank,https://img.18183.com/uploads/allimg/200309/266-2003091QG1.jpg,3267,173,50,380,12.20%,7.60%,200,short-distance,50,84,0%,15,430,0
Charlotte,Warrior,,https://img.18183.com/uploads/allimg/200924/266-2009241K411.jpg,3303,150,50,390,14.40%,7.60%,200,short-distance,50,101,0%,0,0,0
Meng Tian,Warrior,,https://img.18183.com/uploads/allimg/200602/266-2006021QG7.jpg,3079,168,50,370,16%,7.60%,200,short-distance,76,115,0%,0,1000,0
Toho Taiichi,Support,Tank,https://img.18183.com/uploads/allimg/200312/266-2003121G151.jpg,3201,163,50,350,14.10%,7.60%,200,long-distance,53,90,0%,17,470,0
Galo,Archer,,https://img.18183.com/uploads/allimg/200122/266-200122160318.jpg,3173,205,50,350,12.20%,7.60%,0,long-distance,39,84,0%,18,490,0
Liu Shan,Support,,https://img.18183.com/uploads/allimg/190924/266-1Z9241P514.jpg,3364,178,50,380,20%,7.60%,200,short-distance,56,139,0%,15,420,0
Xiang Yu,Tank,,https://img.18183.com/uploads/allimg/190926/266-1Z9261T643.jpg,3535,200,50,370,17%,7.60%,200,short-distance,55,123,0%,20,420,0
Miledy,Mage,,https://img.18183.com/uploads/allimg/200312/266-2003121I235.jpg,3166,165,50,360,13.10%,7.60%,200,long-distance,45,91,0%,18,490,0
Da Mo,Warrior,,https://img.18183.com/uploads/allimg/190927/266-1Z92GIF3.jpg,3213,171,50,380,13.60%,7.60%,200,short-distance,51,95,0%,15,420,0
Miyue,Tank,Mage,https://img.18183.com/uploads/allimg/190929/266-1Z9291S621.jpg,3105,152,50,370,12.70%,7.60%,200,long-distance,44,88,0%,0,100,0
Marco Polo,Archer,,https://img.18183.com/uploads/allimg/200311/266-2003111Q300.jpg,3041,175,50,350,13.10%,7.60%,200,long-distance,46,91,0%,50,200,0
Pangu,Warrior,,https://img.18183.com/uploads/allimg/200309/266-2003091P240.jpg,3067,154,50,380,14.10%,7.60%,200,short-distance,76,99,0%,0,0,0
Mai Shiranui,Mage,Assassin,https://img.18183.com/uploads/allimg/200311/266-2003111P259.jpg,3235,170,50,390,12.90%,7.60%,200,short-distance,46,89,0%,50,200,0
Ake,Assassin,,https://img.18183.com/uploads/allimg/190927/266-1Z92GRA8-50.jpg,3269,177,50,380,12.90%,7.60%,200,short-distance,50,89,0%,0,0,0
Zhou Yu,Mage,,https://img.18183.com/uploads/allimg/191025/266-1910251P520.jpg,3093,160,50,350,12.60%,7.60%,200,long-distance,44,87,0%,17,490,0
Dun Shan,Support,Tank,https://img.18183.com/uploads/allimg/200309/266-2003091H228.jpg,3041,171,50,530,11.60%,7.60%,200,short-distance,50,79,0%,25,125,0
Xiahou Dun,Tank,Warrior,https://img.18183.com/uploads/allimg/200116/266-2001161I141.jpg,3307,159,50,380,14.40%,7.60%,200,short-distance,51,101,0%,15,430,0
Athena,Warrior,,https://img.18183.com/uploads/allimg/200311/266-2003111PZ1.jpg,2862,162,50,410,15%,7.60%,200,short-distance,44,106,0%,15,430,0
Mengqi,Tank,,https://img.18183.com/uploads/allimg/200312/266-2003121H229.jpg,3041,171,50,530,11.60%,7.60%,200,short-distance,50,79,0%,25,125,0
Miyamoto Musashi,Warrior,,https://img.18183.com/uploads/allimg/200122/266-2001221I505.jpg,2902,157,50,400,15%,7.60%,200,short-distance,47,106,0%,0,0,0
Yào,Warrior,Assassin,https://img.18183.com/uploads/allimg/191029/266-1910291PR4-50.jpg,3225,149,50,370,13.50%,7.60%,200,short-distance,49,94,0%,0,0,0
Li Xin,Warrior,,https://img.18183.com/uploads/allimg/200122/266-2001221F043.jpg,3418,176,50,370,15%,7.60%,200,short-distance,52,106,0%,0,0,0
Monkey King,Assassin,Warrior,https://img.18183.com/uploads/allimg/190929/266-1Z9291P639.jpg,3305,167,50,380,14%,7.60%,200,short-distance,50,98,20%,15,430,0
Sun Ce,Warrior,,https://img.18183.com/uploads/allimg/200309/266-2003091HH0-50.jpg,3237,151,50,380,13.90%,7.60%,200,short-distance,80,97,0%,15,420,0
Gao Jianli,Mage,,https://img.18183.com/uploads/allimg/190919/266-1Z9191T637.jpg,3122,163,50,370,14%,7.60%,200,long-distance,44,98,0%,17,490,0
Naklulu,Assassin,,https://img.18183.com/uploads/allimg/191025/266-1910251QP8.jpg,3239,173,50,380,12.50%,7.60%,200,short-distance,47,86,0%,16,450,0
Luna,Warrior,Mage,https://img.18183.com/uploads/allimg/200122/266-2001221J326.jpg,3021,163,50,380,14.50%,7.60%,200,short-distance,52,102,0%,16,450,0
Zhong Wuyan,Warrior,Tank,https://img.18183.com/uploads/allimg/190927/266-1Z92GG452.jpg,3150,164,50,380,14.20%,7.60%,200,short-distance,48,100,0%,15,430,0
Li Bai,Assassin,,https://img.18183.com/uploads/allimg/191025/266-1910251Q147.jpg,2968,169,50,390,14%,7.60%,200,short-distance,49,98,0%,16,450,0
Yang Jian,Warrior,,https://img.18183.com/uploads/allimg/200311/266-2003111QZ7.jpg,3339,166,50,380,14%,7.60%,200,short-distance,51,98,0%,15,420,0
Diao Chan,Mage,Assassin,https://img.18183.com/uploads/allimg/190929/266-1Z9291S133.jpg,3019,167,50,350,12.60%,7.60%,200,long-distance,43,87,0%,17,490,0
Zhong Kui,Support,Mage,https://img.18183.com/uploads/allimg/200309/266-2003091G440.jpg,3420,162,50,360,14.10%,7.60%,200,short-distance,57,99,0%,17,490,0
Yunzhongjun,Warrior,Assassin,https://img.18183.com/uploads/allimg/200309/266-2003091JG4.jpg,3183,159,50,380,14.10%,7.60%,200,short-distance,76,99,0%,0,0,0
Lanlingwang,Assassin,,https://img.18183.com/uploads/allimg/191025/266-1910251R116.jpg,3292,171,50,400,12.40%,7.60%,200,short-distance,52,85,0%,19,450,0
Ganjiang Moye,Mage,,https://img.18183.com/uploads/allimg/200309/266-2003091F018.jpg,3189,159,50,380,13.50%,7.60%,200,long-distance,45,92,0%,17,490,0
Di Renjie,Archer,,https://img.18183.com/uploads/allimg/190926/266-1Z9261QQ7-50.jpg,3242,169,50,360,13.60%,7.60%,200,long-distance,40,95,0%,15,440,0
Baili Xuance,Assassin,,https://img.18183.com/uploads/allimg/200309/266-2003091P913.jpg,3359,178,50,380,12.70%,7.60%,200,short-distance,51,88,0%,16,450,0
Sun Shangxiang,Archer,,https://img.18183.com/uploads/allimg/190927/266-1Z92GK151.jpg,3235,172,50,350,12.90%,7.60%,200,long-distance,40,89,0%,15,440,0
Houyi,Archer,,https://img.18183.com/uploads/allimg/200305/266-2003051QF4.jpg,3182,161,50,360,12.50%,7.60%,200,long-distance,41,86,0%,16,440,0
Angela,Mage,,https://img.18183.com/uploads/allimg/190924/266-1Z9241SZ6-50.jpg,3323,170,50,360,12.10%,7.60%,200,long-distance,47,83,0%,17,490,0
Daji,Mage,,https://img.18183.com/uploads/allimg/190924/266-1Z9241R202.jpg,3229,170,50,350,12.50%,7.60%,200,long-distance,46,86,0%,18,490,0
Master Luban,Support,,https://img.18183.com/uploads/allimg/200102/266-2001021S457.jpg,3287,166,50,380,17.40%,7.60%,200,short-distance,83,127,0%,15,420,0
Luban 7,Archer,,https://img.18183.com/uploads/allimg/190920/266-1Z9201SJ8.jpg,3401,174,50,360,12.70%,7.60%,200,long-distance,42,88,0%,15,440,0
Jiang Ziya,Support,Mage,https://img.18183.com/uploads/allimg/190920/266-1Z9201P105.jpg,2958,168,50,350,15%,7.60%,200,long-distance,42,106,0%,18,490,0
Guiguzi,Support,,https://img.18183.com/uploads/allimg/200312/266-2003121G547.jpg,3200,168,50,350,12.60%,7.60%,200,long-distance,45,87,0%,18,490,0
Yuan Ge,Assassin,,https://img.18183.com/uploads/allimg/200312/266-2003121G941.jpg,3269,177,50,380,12.90%,7.60%,200,short-distance,50,89,0%,0,0,0
Han Xin,Assassin,,https://img.18183.com/uploads/allimg/190926/266-1Z9261R921.jpg,2988,172,50,380,13.20%,7.60%,200,short-distance,45,92,0%,15,430,0
Gongsun Li,Archer,,https://img.18183.com/uploads/allimg/200116/266-2001161H353.jpg,3041,175,50,350,13.10%,7.60%,200,long-distance,46,91,0%,50,200,0
Yang Yuhuan,Support,Mage,https://img.18183.com/uploads/allimg/200312/266-2003121H606.jpg,3238,159,50,360,13.70%,7.60%,0,long-distance,38,96,0%,17,470,0
Shen Mengxi,Mage,,https://img.18183.com/uploads/allimg/181023/237-1Q023113UBU.jpg,3238,171,50,396,12.60%,7.60%,0,long-distance,46,87,0%,15,440,0
Laofuzi,Warrior,,https://img.18183.com/uploads/allimg/190924/266-1Z9241Q544.jpg,3370,168,50,390,14.20%,7.60%,200,short-distance,51,100,0%,16,430,0
Tachibana Ukyo,Assassin,Warrior,https://img.18183.com/uploads/allimg/200311/266-2003111Q539.jpg,3150,165,50,390,13.70%,7.60%,200,short-distance,48,96,0%,0,0,0
Arthur,Tank,Warrior,https://img.18183.com/uploads/allimg/190924/266-1Z9241Q224.jpg,3622,164,50,390,14.10%,7.60%,200,short-distance,55,98,0%,0,0,0
Ming Shiyin,Support,,https://img.18183.com/uploads/allimg/200309/266-2003091R145.jpg,3182,161,50,340,17.20%,7.60%,200,short-distance,41,86,0%,16,420,0
Zhen Ji,Mage,,https://img.18183.com/uploads/allimg/190920/266-1Z9201R324.jpg,3041,165,50,360,12.60%,7.60%,200,long-distance,43,87,0%,18,490,0
Lian Po,Tank,,https://img.18183.com/uploads/allimg/200507/266-20050GT225.jpg,3558,163,50,370,18%,7.60%,200,short-distance,59,132,0%,15,420,0
