win,ass-mon,ass-out,ass-int,arc-mon,arc-out,arc-int,sup-mon,sup-out,sup-int,tan-mon,tan-out,tan-int,war-mon,war-out,war-int,mag-mon,mag-out,mag-int,position_list,tf,ass-mon-out,ass-mon-int,arc-mon-out,arc-mon-int,sup-mon-out,sup-mon-int,tan-mon-out,tan-mon-int,war-mon-out,war-mon-int,mag-mon-out,mag-mon-int
1,14172,68257,73709,0,0,0,21239,190937,98544,0,0,0,27454,118039,189189,0,0,0,"[1, 0, 2, 0, 2, 0]",True,967338204,1044603948,0,0,4055310943,2092976016,0,0,3240642706,5193994806,0,0
1,0,0,0,12399,76902,31463,7827,37998,32822,0,0,0,24994,85674,120733,11084,49954,41985,"[0, 1, 1, 0, 2, 1]",True,0,0,953507898,390109737,297410346,256897794,0,0,2141335956,3017600602,553690136,465361740
0,7403,17652,33272,9103,30015,42899,5405,8757,70974,6655,18463,89154,0,0,0,8124,52576,42028,"[1, 1, 1, 1, 0, 1]",False,130677756,246312616,273226545,390509597,47331585,383614470,122871265,593319870,0,0,427127424,341435472
1,10459,47349,47175,0,0,0,9733,43685,10773,29026,114542,282849,0,0,0,0,0,0,"[1, 0, 1, 3, 0, 0]",True,495223191,493403325,0,0,425186105,104853609,3324696092,8209975074,0,0,0,0
0,0,0,0,9012,44838,36347,4716,17822,52246,8637,59126,65008,8784,53565,51214,8460,64939,41942,"[0, 1, 1, 1, 1, 1]",False,0,0,404080056,327559164,84048552,246392136,510671262,561474096,470514960,449863776,549383940,354829320
1,0,0,0,5976,21267,18814,14641,49889,84007,8691,33637,38524,7500,20749,48067,0,0,0,"[0, 1, 2, 1, 1, 0]",True,0,0,127091592,112432464,730424849,1229946487,292339167,334812084,155617500,360502500,0,0
0,0,0,0,6641,35598,25140,3789,12009,36385,0,0,0,10150,22601,63030,7168,61667,23318,"[0, 1, 1, 0, 2, 1]",False,0,0,236406318,166954740,45502101,137862765,0,0,229400150,639754500,442029056,167143424
1,12203,54617,62000,0,0,0,6461,9740,43137,9606,27618,72826,13502,34744,51473,12754,72557,22572,"[1, 0, 1, 1, 1, 1]",True,666491251,756586000,0,0,62930140,278708157,265298508,699566556,469113488,694988446,925391978,287883288
0,9685,13161,49587,0,0,0,0,0,0,8531,42330,81377,10913,30909,45602,16856,82399,77324,"[1, 0, 0, 1, 1, 2]",False,127464285,480250095,0,0,0,0,361117230,694227187,337309917,497654626,1388917544,1303373344
1,14544,61646,73833,0,0,0,7165,32333,76128,10814,31656,113615,14583,83652,36668,13487,148827,57965,"[1, 0, 1, 1, 1, 1]",True,896579424,1073827152,0,0,231665945,545457120,342327984,1228632610,1219897116,534729444,2007229749,781773955
0,0,0,0,11464,55940,46042,6421,20819,126994,0,0,0,18964,80273,203534,11545,114106,45444,"[0, 1, 1, 0, 2, 1]",False,0,0,641296160,527825488,133678799,815428474,0,0,1522297172,3859818776,1317353770,524650980
1,0,0,0,19891,230887,89403,11999,92762,260556,0,0,0,42444,226985,267036,22473,338025,52169,"[0, 1, 1, 0, 2, 1]",True,0,0,4592573317,1778315073,1113051238,3126411444,0,0,9634151340,11334075984,7596435825,1172393937
0,0,0,0,20722,94525,99741,12738,46389,242849,38930,250154,597712,23075,113821,143560,0,0,0,"[0, 1, 1, 2, 1, 0]",False,0,0,1958747050,2066833002,590903082,3093410562,9738495220,23268928160,2626419575,3312647000,0,0
0,13304,93203,96411,0,0,0,7082,33130,100118,22292,127818,296118,0,0,0,11646,107991,56202,"[1, 0, 1, 2, 0, 1]",False,1239972712,1282651944,0,0,234626660,709035676,2849318856,6601062456,0,0,1257663186,654528492
1,13405,118579,72899,0,0,0,10612,100838,41864,23142,135151,202642,12917,85316,124534,0,0,0,"[1, 0, 1, 2, 1, 0]",True,1589551495,977211095,0,0,1070092856,444260768,3127664442,4689541164,1102026772,1608605678,0,0
0,0,0,0,7716,49749,47845,0,0,0,5590,17301,93222,20549,70418,108221,9494,67188,50074,"[0, 1, 0, 1, 2, 1]",False,0,0,383863284,369172020,0,0,96712590,521110980,1447019482,2223833329,637882872,475402556
1,10440,52638,58344,12846,70543,37429,16658,95724,91022,8654,28549,94675,0,0,0,0,0,0,"[1, 1, 2, 1, 0, 0]",True,549540720,609111360,906195378,480812934,1594570392,1516244476,247063046,819317450,0,0,0,0
0,8756,18056,54818,0,0,0,5740,16170,99147,16513,91365,177528,8170,47974,83310,0,0,0,"[1, 0, 1, 2, 1, 0]",False,158098336,479986408,0,0,92815800,569103780,1508710245,2931519864,391947580,680642700,0,0
1,11627,85048,64189,10410,112585,44357,6453,23500,63420,0,0,0,9321,40286,64380,9441,82004,16759,"[1, 1, 1, 0, 1, 1]",True,988853096,746325503,1172009850,461756370,151645500,409249260,0,0,375505806,600085980,774199764,158221719
0,5915,27204,57295,9384,59998,32634,4911,17200,62978,0,0,0,7619,20307,55320,6421,35265,42968,"[1, 1, 1, 0, 1, 1]",False,160911660,338899925,563021232,306237456,84469200,309284958,0,0,154719033,421483080,226436565,275897528
1,0,0,0,10499,61679,37834,5683,21303,70295,9399,51078,54223,19777,85148,74188,0,0,0,"[0, 1, 1, 1, 2, 0]",True,0,0,647567821,397219166,121064949,399486485,480082122,509641977,1683971996,1467216076,0,0
0,0,0,0,12487,79393,53930,7167,19474,112539,0,0,0,22061,72825,164373,7616,40046,49451,"[0, 1, 1, 0, 2, 1]",False,0,0,991380391,673423910,139570158,806567013,0,0,1606592325,3626232753,304990336,376618816
1,13787,79912,62140,16069,96723,52636,7418,18809,64612,10949,20748,89164,0,0,0,11983,113499,32944,"[1, 1, 1, 1, 0, 1]",True,1101746744,856724180,1554241887,845807884,139525162,479291816,227169852,976256636,0,0,1360058517,394767952
0,0,0,0,14285,81727,38938,16791,21241,118257,0,0,0,12803,40548,56755,12082,44219,35255,"[0, 1, 2, 0, 1, 1]",False,0,0,1167470195,556229330,356657631,1985653287,0,0,519136044,726634265,534253958,425950910
1,16795,57667,74001,0,0,0,0,0,0,10378,31796,96686,27519,70710,112650,12054,48179,34713,"[1, 0, 0, 1, 2, 1]",True,968517265,1242846795,0,0,0,0,329978888,1003407308,1945868490,3100015350,580749666,418430502
1,18397,91708,84917,0,0,0,14761,136572,39410,24986,106487,454795,18551,60057,81958,0,0,0,"[1, 0, 1, 2, 1, 0]",True,1687152076,1562218049,0,0,2015939292,581731010,2660684182,11363507870,1114117407,1520402858,0,0
0,18768,136852,90423,18379,181271,69382,10018,34692,69808,12485,57564,167169,0,0,0,14784,96657,59164,"[1, 1, 1, 1, 0, 1]",False,2568438336,1697058864,3331579709,1275171778,347544456,699336544,718686540,2087104965,0,0,1428977088,874680576
1,11094,69545,76606,12910,74064,36100,6996,41441,36333,21101,64121,226556,0,0,0,0,0,0,"[1, 1, 1, 2, 0, 0]",True,771532230,849866964,956166240,466051000,289921236,254185668,1353017221,4780558156,0,0,0,0
0,0,0,0,11784,113889,36583,6213,9513,69352,0,0,0,16414,67257,139019,9466,77124,42360,"[0, 1, 1, 0, 2, 1]",False,0,0,1342067976,431094072,59104269,430883976,0,0,1103956398,2281857866,730055784,400979760
1,0,0,0,14865,126042,42482,0,0,0,13442,69945,118848,24372,65220,149337,8231,32622,49481,"[0, 1, 0, 1, 2, 1]",True,0,0,1873614330,631494930,0,0,940200690,1597554816,1589541840,3639641364,268511682,407278111
0,14180,70095,71543,0,0,0,0,0,0,20574,55481,199871,11373,36106,82039,12493,146533,46820,"[1, 0, 0, 2, 1, 1]",False,993947100,1014479740,0,0,0,0,1141466094,4112145954,410633538,933029547,1830636769,584922260
1,18283,81433,81638,18600,121991,81834,10391,31595,83819,0,0,0,14886,59497,115180,14288,171148,47953,"[1, 1, 1, 0, 1, 1]",True,1488839539,1492587554,2269032600,1522112400,328303645,870963229,0,0,885672342,1714569480,2445362624,685152464
0,16395,61483,103471,18250,66543,75621,10869,30889,164443,0,0,0,16472,80651,110318,14507,90364,75719,"[1, 1, 1, 0, 1, 1]",False,1008013785,1696407045,1214409750,1380083250,335732541,1787330967,0,0,1328483272,1817158096,1310910548,1098455533
1,13241,78347,72151,13062,96572,46007,7105,34399,54246,8247,35128,102274,0,0,0,8199,36278,19296,"[1, 1, 1, 1, 0, 1]",True,1037392627,955351391,1261423464,600943434,244404895,385417830,289700616,843453678,0,0,297443322,158207904
0,10349,53945,66169,9036,60130,42786,6282,15620,84474,0,0,0,7046,26768,68525,7949,75986,60234,"[1, 1, 1, 0, 1, 1]",False,558276805,684782981,543334680,386614296,98124840,530665668,0,0,188607328,482827150,604012714,478800066
1,0,0,0,11653,72421,40357,6927,9777,65833,0,0,0,22875,81305,109588,11464,71694,56753,"[0, 1, 1, 0, 2, 1]",True,0,0,843921913,470280121,67725279,456025191,0,0,1859851875,2506825500,821900016,650616392
0,11046,29904,41630,9026,33903,32067,5841,14262,108037,0,0,0,10129,43776,79051,9165,92527,22077,"[1, 1, 1, 0, 1, 1]",False,330319584,459844980,306008478,289436742,83304342,631044117,0,0,443407104,800707579,848009955,202335705
1,18368,63220,80988,18510,126604,59803,9836,18523,85771,9796,29204,99435,0,0,0,14017,212309,22843,"[1, 1, 1, 1, 0, 1]",True,1161224960,1487587584,2343440040,1106953530,182192228,843643556,286082384,974065260,0,0,2975935253,320190331
0,14531,53609,99899,15119,76441,80262,0,0,0,19044,79324,245071,0,0,0,9090,63671,68930,"[1, 1, 0, 2, 0, 1]",False,778992379,1451632369,1155711479,1213481178,0,0,1510646256,4667132124,0,0,578769390,626573700
1,0,0,0,14448,93090,43185,7282,17710,91918,0,0,0,22720,93818,116403,10597,80058,45373,"[0, 1, 1, 0, 2, 1]",True,0,0,1344964320,623936880,128964220,669346876,0,0,2131544960,2644676160,848374626,480817681
0,13972,52986,81987,14123,59519,35647,7631,31535,51680,9530,28237,107162,0,0,0,10343,69143,51398,"[1, 1, 1, 1, 0, 1]",False,740320392,1145522364,840586837,503442581,240643585,394370080,269098610,1021253860,0,0,715146049,531609514
0,12852,76089,138477,18631,121676,106736,10992,26461,169168,0,0,0,18956,115226,124681,20545,309213,82952,"[1, 1, 1, 0, 1, 1]",False,977895828,1779706404,2266945556,1988598416,290859312,1859494656,0,0,2184224056,2363453036,6352781085,1704248840
1,21090,99809,184832,23565,188877,128120,13132,29041,204670,0,0,0,18580,95369,153432,15454,85453,88419,"[1, 1, 1, 0, 1, 1]",True,2104971810,3898106880,4450886505,3019147800,381366412,2687726440,0,0,1771956020,2850766560,1320590662,1366427226
1,12644,48747,66733,11737,54949,50007,14684,114757,126696,0,0,0,10083,54244,47414,0,0,0,"[1, 1, 2, 0, 1, 0]",True,616357068,843772052,644936413,586932159,1685091788,1860404064,0,0,546942252,478075362,0,0
0,0,0,0,10381,64694,49293,5432,10166,55630,6818,24718,74765,11274,51506,71332,7767,81480,55869,"[0, 1, 1, 1, 1, 1]",False,0,0,671588414,511710633,55221712,302182160,168527324,509747770,580678644,804196968,632855160,433934523
1,0,0,0,13573,103291,60760,7879,28336,67283,11855,42985,106976,16104,23798,70743,11898,53164,53542,"[0, 1, 1, 1, 1, 1]",True,0,0,1401968743,824695480,223259344,530122757,509587175,1268200480,383242992,1139245272,632545272,637042716
0,12462,54426,57990,12256,52261,50036,7081,7382,80996,8255,14386,66114,0,0,0,11524,133625,34295,"[1, 1, 1, 1, 0, 1]",False,678256812,722671380,640510816,613241216,52271942,573532676,118756430,545771070,0,0,1539894500,395215580
0,0,0,0,18744,188290,119038,0,0,0,24764,125002,383312,17846,147357,127115,16547,232471,64919,"[0, 1, 0, 2, 1, 1]",False,0,0,3529307760,2231248272,0,0,3095549528,9492338368,2629733022,2268494290,3846697637,1074214693
1,24508,111997,147569,19440,183698,177670,12037,29519,158390,15249,54395,222123,0,0,0,15712,199563,129223,"[1, 1, 1, 1, 0, 1]",True,2744822476,3616621052,3571089120,3453904800,355320203,1906540430,829469355,3387153627,0,0,3135533856,2030351776
0,0,0,0,15215,123123,123018,20015,168716,186270,9298,69216,200958,14341,63006,149405,0,0,0,"[0, 1, 2, 1, 1, 0]",False,0,0,1873316445,1871718870,3376850740,3728194050,643570368,1868507484,903569046,2142617105,0,0
1,0,0,0,16547,190127,79409,9634,80065,71112,10447,46901,200213,18961,83761,115147,13879,221904,51203,"[0, 1, 1, 1, 1, 1]",True,0,0,3146031469,1313980723,771346210,685093008,489974747,2091625211,1588192321,2183302267,3079805616,710646437
0,0,0,0,13893,70341,43915,8259,16463,30390,9265,14059,91380,15281,42856,71028,13027,82156,24311,"[0, 1, 1, 1, 1, 1]",False,0,0,977247513,610111095,135967917,250991010,130256635,846635700,654882536,1085378868,1070246212,316699397
1,17626,54344,62910,18466,68866,43174,9785,8674,84395,11522,24904,90665,0,0,0,9430,42057,23443,"[1, 1, 1, 1, 0, 1]",True,957867344,1108851660,1271679556,797251084,84875090,825805075,286943888,1044642130,0,0,396597510,221067490
1,18450,126234,154476,0,0,0,9449,68714,168181,12949,70425,208218,15706,115112,129110,14212,210213,52044,"[1, 0, 1, 1, 1, 1]",True,2329017300,2850082200,0,0,649278586,1589142269,911933325,2696214882,1807949072,2027801660,2987547156,739649328
0,15050,141016,83462,19295,195611,123135,9941,45613,117088,12136,82746,236213,18834,134647,174796,0,0,0,"[1, 1, 1, 1, 1, 0]",False,2122290800,1256103100,3774314245,2375889825,453438833,1163971808,1004205456,2866680968,2535941598,3292107864,0,0
0,20560,65322,130706,17560,223335,78457,10530,13812,132513,15288,54752,120812,0,0,0,14439,81135,49653,"[1, 1, 1, 1, 0, 1]",False,1343020320,2687315360,3921762600,1377704920,145440360,1395361890,837048576,1846973856,0,0,1171508265,716939667
1,17532,78907,94559,20777,130005,53237,23219,172707,224912,12230,41497,144840,0,0,0,0,0,0,"[1, 1, 2, 1, 0, 0]",True,1383397524,1657808388,2701113885,1106105149,4010083833,5222231728,507508310,1771393200,0,0,0,0
1,0,0,0,18973,147356,59001,24147,116430,151485,14293,49310,103507,14569,65782,97121,0,0,0,"[0, 1, 2, 1, 1, 0]",True,0,0,2795785388,1119425973,2811435210,3657908295,704787830,1479425551,958377958,1414955849,0,0
0,15247,71289,77703,18779,126494,89359,9352,22979,96461,10962,34034,135514,0,0,0,14423,88495,58315,"[1, 1, 1, 1, 0, 1]",False,1086943383,1184737641,2375430826,1678072661,214899608,902103272,373080708,1485504468,0,0,1276363385,841077245
1,13684,90774,53880,18002,134120,56484,10510,14423,80253,0,0,0,31344,100634,180445,0,0,0,"[1, 1, 1, 0, 2, 0]",True,1242151416,737293920,2414428240,1016824968,151585730,843459030,0,0,3154272096,5655868080,0,0
0,0,0,0,16870,94193,44708,21411,82962,128435,9515,24608,113093,14989,38717,84571,0,0,0,"[0, 1, 2, 1, 1, 0]",False,0,0,1589035910,754223960,1776299382,2749921785,234145120,1076079895,580329113,1267634719,0,0
0,0,0,0,10587,128534,20554,7449,63218,47173,9950,28899,106981,25547,65681,126372,0,0,0,"[0, 1, 1, 1, 2, 0]",False,0,0,1360789458,217605198,470910882,351391677,287545050,1064460950,1677952507,3228425484,0,0
1,0,0,0,14405,98435,57604,7215,14664,60050,8973,37643,106615,12941,34341,79385,7147,39696,25464,"[0, 1, 1, 1, 1, 1]",True,0,0,1417956175,829785620,105800760,433260750,337770639,956656395,444406881,1027321285,283707312,181991208
1,8723,57490,23059,11093,70028,36869,7612,48069,20037,11099,52754,89408,10720,62728,63885,0,0,0,"[1, 1, 1, 1, 1, 0]",True,501485270,201143657,776820604,408987817,365901228,152521644,585516646,992339392,672444160,684847200,0,0
0,15114,67716,128251,0,0,0,5482,12177,85140,6651,30362,80889,8456,16856,42590,0,0,0,"[2, 0, 1, 1, 1, 0]",False,1023459624,1938385614,0,0,66754314,466737480,201937662,537992739,142534336,360141040,0,0
0,0,0,0,8993,37063,46369,5818,23928,80429,7035,28679,76260,9104,40766,48586,7655,62570,37432,"[0, 1, 1, 1, 1, 1]",False,0,0,333307559,416996417,139213104,467935922,201756765,536489100,371133664,442326944,478973350,286541960
1,11985,63149,63932,0,0,0,6081,32570,86904,9375,38223,62157,10180,20696,41135,9430,82449,21874,"[1, 0, 1, 1, 1, 1]",True,756840765,766225020,0,0,198058170,528463224,358340625,582721875,210685280,418754300,777494070,206271820
1,8260,77544,28862,9817,69876,42246,0,0,0,16546,69950,175180,10314,40502,47430,0,0,0,"[1, 1, 0, 2, 1, 0]",True,640513440,238400120,685972692,414728982,0,0,1157392700,2898528280,417737628,489193020,0,0
0,0,0,0,7633,44240,55842,5184,19914,45339,7012,38831,69702,7795,39552,86130,7789,69614,37438,"[0, 1, 1, 1, 1, 1]",False,0,0,337683920,426241986,103234176,235037376,272282972,488750424,308307840,671383350,542223446,291604582
1,13241,78347,72151,13062,96572,46007,7105,34399,54246,8247,35128,102274,0,0,0,8199,36278,19296,"[1, 1, 1, 1, 0, 1]",True,1037392627,955351391,1261423464,600943434,244404895,385417830,289700616,843453678,0,0,297443322,158207904
0,10349,53945,66169,9036,60130,42786,6282,15620,84474,0,0,0,7046,26768,68525,7949,75986,60234,"[1, 1, 1, 0, 1, 1]",False,558276805,684782981,543334680,386614296,98124840,530665668,0,0,188607328,482827150,604012714,478800066
1,0,0,0,11653,72421,40357,6927,9777,65833,0,0,0,22875,81305,109588,11464,71694,56753,"[0, 1, 1, 0, 2, 1]",True,0,0,843921913,470280121,67725279,456025191,0,0,1859851875,2506825500,821900016,650616392
0,11046,29904,41630,9026,33903,32067,5841,14262,108037,0,0,0,10129,43776,79051,9165,92527,22077,"[1, 1, 1, 0, 1, 1]",False,330319584,459844980,306008478,289436742,83304342,631044117,0,0,443407104,800707579,848009955,202335705
1,18368,63220,80988,18510,126604,59803,9836,18523,85771,9796,29204,99435,0,0,0,14017,212309,22843,"[1, 1, 1, 1, 0, 1]",True,1161224960,1487587584,2343440040,1106953530,182192228,843643556,286082384,974065260,0,0,2975935253,320190331
0,14531,53609,99899,15119,76441,80262,0,0,0,19044,79324,245071,0,0,0,9090,63671,68930,"[1, 1, 0, 2, 0, 1]",False,778992379,1451632369,1155711479,1213481178,0,0,1510646256,4667132124,0,0,578769390,626573700
1,0,0,0,14448,93090,43185,7282,17710,91918,0,0,0,22720,93818,116403,10597,80058,45373,"[0, 1, 1, 0, 2, 1]",True,0,0,1344964320,623936880,128964220,669346876,0,0,2131544960,2644676160,848374626,480817681
0,13972,52986,81987,14123,59519,35647,7631,31535,51680,9530,28237,107162,0,0,0,10343,69143,51398,"[1, 1, 1, 1, 0, 1]",False,740320392,1145522364,840586837,503442581,240643585,394370080,269098610,1021253860,0,0,715146049,531609514
0,12852,76089,138477,18631,121676,106736,10992,26461,169168,0,0,0,18956,115226,124681,20545,309213,82952,"[1, 1, 1, 0, 1, 1]",False,977895828,1779706404,2266945556,1988598416,290859312,1859494656,0,0,2184224056,2363453036,6352781085,1704248840
1,21090,99809,184832,23565,188877,128120,13132,29041,204670,0,0,0,18580,95369,153432,15454,85453,88419,"[1, 1, 1, 0, 1, 1]",True,2104971810,3898106880,4450886505,3019147800,381366412,2687726440,0,0,1771956020,2850766560,1320590662,1366427226
1,12644,48747,66733,11737,54949,50007,14684,114757,126696,0,0,0,10083,54244,47414,0,0,0,"[1, 1, 2, 0, 1, 0]",True,616357068,843772052,644936413,586932159,1685091788,1860404064,0,0,546942252,478075362,0,0
0,0,0,0,10381,64694,49293,5432,10166,55630,6818,24718,74765,11274,51506,71332,7767,81480,55869,"[0, 1, 1, 1, 1, 1]",False,0,0,671588414,511710633,55221712,302182160,168527324,509747770,580678644,804196968,632855160,433934523
1,0,0,0,13573,103291,60760,7879,28336,67283,11855,42985,106976,16104,23798,70743,11898,53164,53542,"[0, 1, 1, 1, 1, 1]",True,0,0,1401968743,824695480,223259344,530122757,509587175,1268200480,383242992,1139245272,632545272,637042716
0,12462,54426,57990,12256,52261,50036,7081,7382,80996,8255,14386,66114,0,0,0,11524,133625,34295,"[1, 1, 1, 1, 0, 1]",False,678256812,722671380,640510816,613241216,52271942,573532676,118756430,545771070,0,0,1539894500,395215580
0,0,0,0,18744,188290,119038,0,0,0,24764,125002,383312,17846,147357,127115,16547,232471,64919,"[0, 1, 0, 2, 1, 1]",False,0,0,3529307760,2231248272,0,0,3095549528,9492338368,2629733022,2268494290,3846697637,1074214693
1,24508,111997,147569,19440,183698,177670,12037,29519,158390,15249,54395,222123,0,0,0,15712,199563,129223,"[1, 1, 1, 1, 0, 1]",True,2744822476,3616621052,3571089120,3453904800,355320203,1906540430,829469355,3387153627,0,0,3135533856,2030351776
0,0,0,0,15215,123123,123018,20015,168716,186270,9298,69216,200958,14341,63006,149405,0,0,0,"[0, 1, 2, 1, 1, 0]",False,0,0,1873316445,1871718870,3376850740,3728194050,643570368,1868507484,903569046,2142617105,0,0
1,0,0,0,16547,190127,79409,9634,80065,71112,10447,46901,200213,18961,83761,115147,13879,221904,51203,"[0, 1, 1, 1, 1, 1]",True,0,0,3146031469,1313980723,771346210,685093008,489974747,2091625211,1588192321,2183302267,3079805616,710646437
