win,hero1,kda1,money1,output1,intake1,hero2,kda2,money2,output2,intake2,hero3,kda3,money3,output3,intake3,hero4,kda4,money4,output4,intake4,hero5,kda5,money5,output5,intake5,all_money_a,all_kill_a,all_tower_a
0,Lv Bu,0/2/1,4999,24501,59275,Shangguan Wan'er,2/2/0,6909,42399,30882,Marco Polo,0/2/2,6968,48467,29247,Sun Ce,0/2/1,6476,14682,42131,Zhang Fei,0/2/1,4076,15865,59405,29428,2,0
1,Lv Bu,4/3/5,9786,58105,111238,Guan Yu,2/1/5,12079,49716,93549,Zhou Yu,4/0/5,11281,83688,30625,Pei Qinhu,2/3/8,11619,67062,91564,Su Lie,1/2/9,7617,22045,118876,52382,13,7
0,Xiahou Dun,1/2/7,7566,45789,110330,Yào,2/4/4,11624,73068,69793,Mai Shiranui,3/3/5,10372,68677,60484,Gongsun Li,3/1/5,11875,107191,45135,Daqiao,0/3/9,6567,57871,54477,48004,9,4
1,Laofuzi,3/3/9,10889,48757,67206,Tachibana Ukyo,5/2/6,11197,54208,65857,Yixing,6/0/10,11227,129577,27802,Zhang Fei,1/1/15,7080,24798,100986,Di Renjie,4/2/11,11101,75890,37889,51494,19,8
0,Zhu Bajie,0/5/3,6113,17638,103708,Pangu,1/2/2,10267,42991,65492,Shangguan Wan'er,4/4/1,9590,47829,48672,Marco Polo,2/5/1,10036,88206,46350,Lian Po,0/3/3,5261,29705,103341,41267,7,1
1,Lv Bu,4/3/4,11947,54353,126791,Pangu,6/4/9,13581,90262,162251,Zhou Yu,3/2/12,14033,90777,50756,Daqiao,1/1/16,10070,27438,49153,Marco Polo,6/1/8,14996,126100,81226,64627,20,8
0,Yào,1/3/2,13002,66671,92106,Tachibana Ukyo,3/5/5,12134,76757,104503,Xiaoqiao,2/1/3,12171,120879,56156,Gongsun Li,5/5/3,12808,82987,65970,Dun Shan,0/6/5,7096,14087,119204,57211,11,3
1,Li Xin,2/1/2,9754,49945,55038,Zhu Bajie,0/0/9,7098,25732,72781,Jiang Ziya,3/0/7,9773,64168,11340,Taiyi Zhenren,0/1/9,6065,8841,49676,Sun Shangxiang,6/0/3,10636,48097,28315,43326,11,8
0,Ma Chao,1/4/0,6161,24278,45589,Pei Qinhu,0/1/1,6904,33256,41522,Shen Mengxi,1/0/1,7853,57473,22391,Kuangtie,0/2/1,7628,28379,69528,Bull Demon,0/4/1,4345,8451,54338,32891,2,3
0,Zhu Bajie,3/2/4,9563,61866,158726,Sun Ce,1/4/5,9751,34860,92682,Zhou Yu,3/4/4,12278,95683,57715,Di Renjie,2/6/3,11311,80523,66434,Sun Bin,1/2/9,7088,52170,70500,49991,10,3
1,Lv Bu,3/0/10,10943,90224,100945,Mai Shiranui,3/3/9,11728,135431,64643,Guan Yu,6/3/7,11633,59399,79951,Pei Qinhu,4/3/7,13217,76436,92389,Lian Po,2/1/12,7663,33645,88130,55184,18,8
0,Xiang Yu,0/1/6,10321,41863,109442,Pangu,2/3/2,14946,46490,110360,Shangguan Wan'er,3/5/5,14091,49224,61684,Sun Shangxiang,6/1/1,18137,105251,42526,Lian Po,0/1/8,8703,34444,114731,66198,11,9
1,Kuangtie,4/2/5,14769,79676,129620,Jiang Ziya,0/0/10,13253,179575,22516,Naklulu,6/2/4,14172,68257,73709,Kai,1/2/4,12685,38363,59569,Dun Shan,0/5/3,7986,11362,76028,62865,11,6
1,Yào,2/2/7,12327,46472,54915,Zhao Yun,5/0/5,12667,39202,65818,Mai Shiranui,3/3/4,11084,49954,41985,Gongsun Li,5/0/6,12399,76902,31463,Daqiao,0/1/13,7827,37998,32822,56304,15,9
0,Liu Bang,3/3/1,6655,18463,89154,Shangguan Wan'er,2/3/2,8124,52576,42028,Tachibana Ukyo,0/3/2,7403,17652,33272,Marco Polo,1/4/2,9103,30015,42899,Zhang Fei,0/2/5,5405,8757,70974,36690,6,0
1,Mengqi,3/1/4,10348,52527,81737,Naklulu,6/0/4,10459,47349,47175,Jiang Ziya,0/0/7,9733,43685,10773,Cheng Yaojin,0/5/4,12008,44701,139886,Lian Po,2/1/6,6670,17314,61226,49218,11,9
0,Miyue,0/3/4,8637,59126,65008,Yunzhongjun,6/2/1,8784,53565,51214,Wu Zetian,1/1/2,8460,64939,41942,Yu Ji,0/1/2,9012,44838,36347,Guiguzi,0/4/4,4716,17822,52246,39609,7,0
1,Yang Jian,2/2/2,7500,20749,48067,Baili Shouyue,0/0/2,5976,21267,18814,Yang Yuhuan,2/0/3,9766,42246,34062,Miyue,0/0/1,8691,33637,38524,Taiyi Zhenren,1/0/3,4875,7643,49945,36808,5,8
0,Kai,0/1/1,5515,12454,36486,Sun Ce,0/1/1,4635,10147,26544,Yingzheng,2/0/0,7168,61667,23318,Houyi,0/0/2,6641,35598,25140,Guiguzi,0/3/2,3789,12009,36385,27748,2,0
1,Li Bai,3/2/5,12203,54617,62000,Xiang Yu,0/1/7,9606,27618,72826,Wang Zhaojun,5/0/2,12754,72557,22572,Cao Cao,2/0/4,13502,34744,51473,Dun Shan,0/2/5,6461,9740,43137,54526,10,8
0,Lv Bu,2/4/1,8531,42330,81377,Monkey King,0/3/2,9685,13161,49587,Shangguan Wan'er,3/0/2,10438,39513,31981,Laofuzi,0/1/2,10913,30909,45602,Zhang Liang,0/2/4,6418,42886,45343,45985,5,2
1,Baili Xuance,5/1/9,14544,61646,73833,Zhu Bajie,2/2/9,10814,31656,113615,Mai Shiranui,8/1/8,13487,148827,57965,Li Xin,3/0/3,14583,83652,36668,Guiguzi,3/6/10,7165,32333,76128,60593,21,8
0,Guan Yu,2/1/2,11079,44986,76392,Athena,0/11/6,7885,35287,127142,Shen Mengxi,6/2/2,11545,114106,45444,Di Renjie,1/4/5,11464,55940,46042,Zhang Fei,1/3/3,6421,20819,126994,48394,10,2
1,Zhao Yun,5/1/14,20552,141706,146520,Li Yuanfang,8/2/12,19891,230887,89403,Shen Mengxi,8/1/10,22473,338025,52169,Guan Yu,2/1/8,21892,85279,120516,Toho Taiichi,2/8/16,11999,92762,260556,96807,25,7
0,Cheng Yaojin,2/3/5,19208,107592,386269,Li Xin,2/3/6,23075,113821,143560,Chang'e,4/5/4,19722,142562,211443,Gongsun Li,5/4/3,20722,94525,99741,Dun Shan,0/10/7,12738,46389,242849,95465,13,7
0,Pei Qinhu,4/3/6,13304,93203,96411,Xiahou Dun,1/3/7,10663,80176,151319,Shangguan Wan'er,6/6/3,11646,107991,56202,Cheng Yaojin,4/3/4,11629,47642,144799,Bull Demon,1/2/5,7082,33130,100118,54324,16,3
1,Cao Cao,3/4/5,12917,85316,124534,Naklulu,8/4/3,13405,118579,72899,Jiang Ziya,2/4/10,10612,100838,41864,Miyue,4/3/2,13882,91747,87197,Su Lie,0/1/11,9260,43404,115445,60076,17,7
0,Sun Ce,1/3/1,9768,25433,59600,Gongsun Li,1/4/0,7716,49749,47845,Diao Chan,0/3/4,9494,67188,50074,Pangu,2/2/0,10781,44985,48621,Su Lie,1/4/2,5590,17301,93222,43349,5,3
1,Zhu Bajie,2/1/8,8654,28549,94675,Tachibana Ukyo,0/1/13,10440,52638,58344,Yang Yuhuan,5/1/11,10596,62669,49494,Marco Polo,9/0/4,12846,70543,37429,Sun Bin,0/2/13,6062,33055,41528,48598,16,7
0,Kai,1/4/4,8170,47974,83310,Baili Xuance,0/4/3,8756,18056,54818,Chang'e,5/1/0,9252,59488,98469,Miyue,0/3/2,7261,31877,79059,Zhang Fei,1/3/4,5740,16170,99147,39179,7,3
1,Cao Cao,1/0/6,9321,40286,64380,Naklulu,10/1/1,11627,85048,64189,Wu Zetian,2/1/6,9441,82004,16759,Di Renjie,2/4/6,10410,112585,44357,Taiyi Zhenren,0/1/10,6453,23500,63420,47252,15,9
0,Laofuzi,0/2/2,7619,20307,55320,Sun Shangxiang,2/3/2,9384,59998,32634,Wang Zhaojun,1/4/3,6421,35265,42968,Tachibana Ukyo,1/4/1,5915,27204,57295,Taiyi Zhenren,0/3/2,4911,17200,62978,34250,4,0
1,Hua Mulan,5/0/6,10742,60345,26988,Sun Ce,1/1/5,9035,24803,47200,Chang'e,3/0/7,9399,51078,54223,Gongsun Li,6/1/2,10499,61679,37834,Bull Demon,1/2/6,5683,21303,70295,45358,16,9
0,Sun Ce,1/3/3,10502,17801,89074,Di Renjie,0/1/4,12487,79393,53930,Zhang Liang,0/3/6,7616,40046,49451,Guan Yu,2/4/2,11559,55024,75299,Bull Demon,3/5/3,7167,19474,112539,49331,6,2
1,Lv Bu,1/1/7,10949,20748,89164,Li Bai,4/1/9,13787,79912,62140,Shen Mengxi,3/0/7,11983,113499,32944,Marco Polo,8/1/4,16069,96723,52636,Dun Shan,0/3/8,7418,18809,64612,60206,16,8
0,Dun Shan,0/3/3,9107,7222,65857,Marco Polo,1/2/3,14285,81727,38938,Shangguan Wan'er,1/0/2,12082,44219,35255,Li Xin,0/1/1,12803,40548,56755,Guiguzi,2/3/0,7684,14019,52400,55961,4,1
1,Guan Yu,0/0/4,13093,49433,57001,Pei Qinhu,5/1/3,16795,57667,74001,Wang Zhaojun,1/2/5,12054,48179,34713,Laofuzi,0/0/6,14426,21277,55649,Su Lie,3/1/6,10378,31796,96686,66746,9,7
1,Hua Mulan,3/1/3,18551,60057,81958,Naklulu,6/3/6,18397,91708,84917,Jiang Ziya,4/1/7,14761,136572,39410,Cheng Yaojin,2/3/10,14598,73008,272876,Su Lie,0/4/10,10388,33479,181919,76695,15,9
0,Zhu Bajie,0/3/3,12485,57564,167169,Tachibana Ukyo,7/3/2,18768,136852,90423,Zhang Liang,2/5/3,14784,96657,59164,Li Yuanfang,2/2/7,18379,181271,69382,Guiguzi,1/2/9,10018,34692,69808,74434,12,5
1,Zhu Bajie,3/2/5,9204,30806,105261,Pei Qinhu,1/0/7,11094,69545,76606,Cheng Yaojin,1/0/5,11897,33315,121295,Di Renjie,5/1/4,12910,74064,36100,Sun Bin,1/1/8,6996,41441,36333,52101,11,9
0,Sun Ce,0/1/3,8079,35684,63417,Sun Shangxiang,2/1/1,11784,113889,36583,Zhou Yu,0/2/2,9466,77124,42360,Guan Yu,2/4/1,8335,31573,75602,Taiyi Zhenren,0/3/0,6213,9513,69352,43877,4,2
1,Guan Yu,4/3/4,11561,37436,80575,Sun Ce,2/1/6,12811,27784,68762,Chang'e,2/2/9,13442,69945,118848,Marco Polo,3/0/7,14865,126042,42482,Zhang Liang,1/3/4,8231,32622,49481,60910,12,7
0,Laofuzi,0/2/3,11373,36106,82039,Pei Qinhu,4/2/5,14180,70095,71543,Wang Zhaojun,4/1/4,12493,146533,46820,Lv Bu,1/2/4,12926,35145,65388,Su Lie,0/5/6,7648,20336,134483,58620,9,7
1,Pangu,2/4/7,14886,59497,115180,Naklulu,8/2/4,18283,81433,81638,Shen Mengxi,1/1/7,14288,171148,47953,Gongsun Li,5/4/3,18600,121991,81834,Guiguzi,1/3/8,10391,31595,83819,76448,17,8
0,Marco Polo,2/3/6,18250,66543,75621,Tachibana Ukyo,4/3/7,16395,61483,103471,Shangguan Wan'er,4/3/5,14507,90364,75719,Li Xin,1/6/1,16472,80651,110318,Bull Demon,3/2/8,10869,30889,164443,76493,14,4
1,Bai Qi,2/1/9,8247,35128,102274,Tachibana Ukyo,8/1/5,13241,78347,72151,Meng Ya,5/1/6,13062,96572,46007,Zhang Liang,2/0/8,8199,36278,19296,Sun Bin,0/3/13,7105,34399,54246,49854,17,9
0,Laofuzi,0/2/3,7046,26768,68525,Pei Qinhu,3/4/0,10349,53945,66169,Mai Shiranui,2/5/0,7949,75986,60234,Gongsun Li,1/3/2,9036,60130,42786,Taiyi Zhenren,0/3/4,6282,15620,84474,40662,6,3
1,Guan Yu,2/1/6,10651,43837,50001,Zhao Yun,3/0/3,12224,37468,59587,Galo,2/0/3,11653,72421,40357,Mai Shiranui,3/0/4,11464,71694,56753,Dun Shan,0/1/3,6927,9777,65833,52919,10,6
0,Charlotte,1/3/0,10129,43776,79051,Tachibana Ukyo,1/1/1,11046,29904,41630,Shen Mengxi,0/1/2,9165,92527,22077,Yu Ji,0/2/1,9026,33903,32067,Zhang Fei,0/3/2,5841,14262,108037,45207,2,2
1,Zhu Bajie,2/1/4,9796,29204,99435,Naklulu,4/3/4,18368,63220,80988,Marco Polo,4/1/6,18510,126604,59803,Shen Mengxi,1/0/8,14017,212309,22843,Taiyi Zhenren,0/3/11,9836,18523,85771,70527,11,8
0,Lian Po,0/2/3,9838,61268,141374,Jing,3/2/1,14531,53609,99899,Zhang Liang,0/2/5,9090,63671,68930,Sun Shangxiang,4/4/3,15119,76441,80262,Liu Bang,1/1/5,9206,18056,103697,57784,8,2
1,Meng Tian,4/2/5,11971,50106,54631,Di Renjie,5/0/6,14448,93090,43185,Pangu,0/3/9,10749,43712,61772,Shangguan Wan'er,4/5/2,10597,80058,45373,Master Luban,0/4/9,7282,17710,91918,55047,13,6
0,Bai Qi,0/3/9,9530,28237,107162,Pei Qinhu,7/2/2,13972,52986,81987,Galo,2/2/9,14123,59519,35647,Wang Zhaojun,4/3/7,10343,69143,51398,Daqiao,1/3/8,7631,31535,51680,55599,14,5
0,Ma Chao,1/3/7,18956,115226,124681,Lanlingwang,5/10/7,12852,76089,138477,Gongsun Li,4/4/5,18631,121676,106736,Ganjiang Moye,9/2/8,20545,309213,82952,Bull Demon,0/6/9,10992,26461,169168,81976,19,8
1,Nezha,8/5/13,18580,95369,153432,Tachibana Ukyo,6/4/14,21090,99809,184832,Yu Ji,7/4/11,23565,188877,128120,Zhang Liang,3/1/15,15454,85453,88419,Taiyi Zhenren,1/5/18,13132,29041,204670,91821,25,8
1,Guan Yu,3/2/8,10083,54244,47414,Naklulu,5/1/6,12644,48747,66733,Sun Shangxiang,3/0/5,11737,54949,50007,Jiang Ziya,1/0/6,8165,99455,21589,Zhang Fei,0/0/6,6519,15302,105107,49148,12,8
0,Lian Po,0/2/2,6818,24718,74765,Zhao Yun,2/3/1,11274,51506,71332,Marco Polo,1/3/1,10381,64694,49293,Mozi,0/1/2,7767,81480,55869,Dun Shan,0/3/2,5432,10166,55630,41672,3,1
1,Lv Bu,1/1/7,11855,42985,106976,Zhao Yun,3/1/3,16104,23798,70743,Marco Polo,3/0/2,13573,103291,60760,Mai Shiranui,3/1/4,11898,53164,53542,Sun Bin,0/0/6,7879,28336,67283,61309,10,8
0,Liu Bang,0/3/2,8255,14386,66114,Jing,3/2/0,12462,54426,57990,Genghis Khan,0/2/0,12256,52261,50036,Shen Mengxi,0/2/1,11524,133625,34295,Zhang Fei,0/1/0,7081,7382,80996,51578,3,0
0,Charlotte,4/5/5,17846,147357,127115,Agudo,2/3/9,14324,81150,192150,Yu Ji,7/4/2,18744,188290,119038,Shen Mengxi,4/3/7,16547,232471,64919,Lian Po,0/6/9,10440,43852,191162,77901,17,4
1,Lv Bu,0/2/6,15249,54395,222123,Naklulu,11/4/3,24508,111997,147569,Di Renjie,4/5/15,19440,183698,177670,Shangguan Wan'er,6/5/11,15712,199563,129223,Master Luban,0/1/16,12037,29519,158390,86946,21,9
0,Jiang Ziya,3/0/1,11215,153093,48833,Pangu,0/6/6,14341,63006,149405,Sun Shangxiang,1/2/2,15215,123123,123018,Taiyi Zhenren,0/2/3,8800,15623,137437,Lian Po,2/2/2,9298,69216,200958,58869,6,1
1,Zhu Bajie,2/3/5,10447,46901,200213,Zhao Yun,4/0/4,18961,83761,115147,Marco Polo,3/2/4,16547,190127,79409,Shen Mengxi,1/1/8,13879,221904,51203,Sun Bin,2/0/6,9634,80065,71112,69468,12,8
0,Gongsun Li,0/0/0,13893,70341,43915,Ganjiang Moye,0/1/0,13027,82156,24311,Zhao Yun,0/2/0,15281,42856,71028,Daqiao,0/1/0,8259,16463,30390,Zhu Bajie,0/3/0,9265,14059,91380,59725,0,5
1,Xiang Yu,1/0/4,11522,24904,90665,Naklulu,4/0/1,17626,54344,62910,Zhang Liang,1/0/5,9430,42057,23443,Sun Shangxiang,1/0/3,18466,68866,43174,Taiyi Zhenren,0/0/3,9785,8674,84395,66829,7,6
1,Ma Chao,6/2/8,15706,115112,129110,Shen Mengxi,2/0/13,14212,210213,52044,Pei Qinhu,6/4/6,18450,126234,154476,Toho Taiichi,3/9/6,9449,68714,168181,Lv Bu,2/2/10,12949,70425,208218,70766,19,8
0,Lian Po,2/3/11,12136,82746,236213,Luna,4/3/8,18834,134647,174796,Gongsun Li,9/5/3,19295,195611,123135,Yuan Ge,1/3/8,15050,141016,83462,Daqiao,1/5/13,9941,45613,117088,75256,17,8
0,Xishi,1/4/10,14439,81135,49653,Tachibana Ukyo,2/2/7,20560,65322,130706,Marco Polo,10/1/4,17560,223335,78457,Dun Shan,0/4/13,10530,13812,132513,Liu Bang,1/1/6,15288,54752,120812,78377,14,6
1,Lv Bu,2/3/3,12230,41497,144840,Jing,6/4/5,17532,78907,94559,Jiang Ziya,0/4/7,12513,151761,52694,Meng Ya,4/1/6,20777,130005,53237,Zhang Fei,0/2/10,10706,20946,172218,73758,12,5
1,Bai Qi,1/1/9,14293,49310,103507,Jiang Ziya,2/3/12,12721,96641,33305,Sun Shangxiang,9/2/7,18973,147356,59001,Pangu,5/1/9,14569,65782,97121,Taiyi Zhenren,0/4/13,11426,19789,118180,71982,17,5
0,Xiang Yu,0/2/6,10962,34034,135514,Lanlingwang,5/5/4,15247,71289,77703,Gongsun Li,4/2/3,18779,126494,89359,Mai Shiranui,2/4/3,14423,88495,58315,Bull Demon,0/4/7,9352,22979,96461,68763,11,8
1,Guan Yu,2/2/6,14845,52170,79288,Yuan Ge,3/3/8,13684,90774,53880,Luna,2/0/9,16499,48464,101157,Di Renjie,6/1/7,18002,134120,56484,Dun Shan,0/1/10,10510,14423,80253,73540,13,7
0,Lian Po,0/3/3,9515,24608,113093,Zhao Yun,1/3/2,14989,38717,84571,Huang Zhong,3/2/2,16870,94193,44708,Jiang Ziya,2/1/1,11471,73896,27975,Taiyi Zhenren,1/4/3,9940,9066,100460,62785,7,0
0,Ma Chao,2/2/1,12343,34792,73708,Baili Shouyue,2/0/1,10587,128534,20554,Zhao Yun,0/2/2,13204,30889,52664,Zhu Bajie,0/4/0,9950,28899,106981,Sun Bin,0/1/4,7449,63218,47173,53533,4,6
1,Lv Bu,1/0/6,8973,37643,106615,Luna,4/3/2,12941,34341,79385,Di Renjie,2/1/7,14405,98435,57604,Zhang Liang,1/0/8,7147,39696,25464,Master Luban,1/0/8,7215,14664,60050,50681,9,5
1,Cheng Yaojin,1/0/6,11099,52754,89408,Yuan Ge,3/2/4,8723,57490,23059,Marco Polo,4/0/5,11093,70028,36869,Da Mo,3/3/3,10720,62728,63885,Jiang Ziya,3/1/7,7612,48069,20037,49247,14,9
0,Xiang Yu,0/3/2,6651,30362,80889,Pei Qinhu,1/1/2,8264,32746,62411,Sima Yi,2/5/1,6850,34970,65840,Hua Mulan,2/2/0,8456,16856,42590,Zhang Fei,0/3/4,5482,12177,85140,35703,5,1
0,Guan Yu,1/3/1,9104,40766,48586,Li Yuanfang,1/2/1,8993,37063,46369,Zhang Liang,2/1/2,7655,62570,37432,Su Lie,0/2/2,7035,28679,76260,Bull Demon,1/2/3,5818,23928,80429,38605,5,2
1,Xiang Yu,3/0/5,9375,38223,62157,Ganjiang Moye,0/1/8,9430,82449,21874,Pei Qinhu,6/2/3,11985,63149,63932,Laofuzi,1/1/3,10180,20696,41135,Zhang Fei,0/1/7,6081,32570,86904,47051,10,6
1,Bai Qi,0/0/7,9128,41145,79622,Marco Polo,1/0/9,9817,69876,42246,Yuan Ge,4/0/8,8260,77544,28862,Dian Wei,3/1/3,10314,40502,47430,Su Lie,5/1/7,7418,28805,95558,44937,13,9
0,Guan Yu,1/0/0,7795,39552,86130,Ganjiang Moye,0/2/1,7789,69614,37438,Xiang Yu,1/3/1,7012,38831,69702,Gongsun Li,0/5/0,7633,44240,55842,Guiguzi,0/3/1,5184,19914,45339,35413,2,1
1,Bai Qi,2/1/9,8247,35128,102274,Tachibana Ukyo,8/1/5,13241,78347,72151,Meng Ya,5/1/6,13062,96572,46007,Zhang Liang,2/0/8,8199,36278,19296,Sun Bin,0/3/13,7105,34399,54246,49854,17,9
0,Laofuzi,0/2/3,7046,26768,68525,Pei Qinhu,3/4/0,10349,53945,66169,Mai Shiranui,2/5/0,7949,75986,60234,Gongsun Li,1/3/2,9036,60130,42786,Taiyi Zhenren,0/3/4,6282,15620,84474,40662,6,3
1,Guan Yu,2/1/6,10651,43837,50001,Zhao Yun,3/0/3,12224,37468,59587,Galo,2/0/3,11653,72421,40357,Mai Shiranui,3/0/4,11464,71694,56753,Dun Shan,0/1/3,6927,9777,65833,52919,10,6
0,Charlotte,1/3/0,10129,43776,79051,Tachibana Ukyo,1/1/1,11046,29904,41630,Shen Mengxi,0/1/2,9165,92527,22077,Yu Ji,0/2/1,9026,33903,32067,Zhang Fei,0/3/2,5841,14262,108037,45207,2,2
1,Zhu Bajie,2/1/4,9796,29204,99435,Naklulu,4/3/4,18368,63220,80988,Marco Polo,4/1/6,18510,126604,59803,Shen Mengxi,1/0/8,14017,212309,22843,Taiyi Zhenren,0/3/11,9836,18523,85771,70527,11,8
0,Lian Po,0/2/3,9838,61268,141374,Jing,3/2/1,14531,53609,99899,Zhang Liang,0/2/5,9090,63671,68930,Sun Shangxiang,4/4/3,15119,76441,80262,Liu Bang,1/1/5,9206,18056,103697,57784,8,2
1,Meng Tian,4/2/5,11971,50106,54631,Di Renjie,5/0/6,14448,93090,43185,Pangu,0/3/9,10749,43712,61772,Shangguan Wan'er,4/5/2,10597,80058,45373,Master Luban,0/4/9,7282,17710,91918,55047,13,6
0,Bai Qi,0/3/9,9530,28237,107162,Pei Qinhu,7/2/2,13972,52986,81987,Galo,2/2/9,14123,59519,35647,Wang Zhaojun,4/3/7,10343,69143,51398,Daqiao,1/3/8,7631,31535,51680,55599,14,5
0,Ma Chao,1/3/7,18956,115226,124681,Lanlingwang,5/10/7,12852,76089,138477,Gongsun Li,4/4/5,18631,121676,106736,Ganjiang Moye,9/2/8,20545,309213,82952,Bull Demon,0/6/9,10992,26461,169168,81976,19,8
1,Nezha,8/5/13,18580,95369,153432,Tachibana Ukyo,6/4/14,21090,99809,184832,Yu Ji,7/4/11,23565,188877,128120,Zhang Liang,3/1/15,15454,85453,88419,Taiyi Zhenren,1/5/18,13132,29041,204670,91821,25,8
1,Guan Yu,3/2/8,10083,54244,47414,Naklulu,5/1/6,12644,48747,66733,Sun Shangxiang,3/0/5,11737,54949,50007,Jiang Ziya,1/0/6,8165,99455,21589,Zhang Fei,0/0/6,6519,15302,105107,49148,12,8
0,Lian Po,0/2/2,6818,24718,74765,Zhao Yun,2/3/1,11274,51506,71332,Marco Polo,1/3/1,10381,64694,49293,Mozi,0/1/2,7767,81480,55869,Dun Shan,0/3/2,5432,10166,55630,41672,3,1
1,Lv Bu,1/1/7,11855,42985,106976,Zhao Yun,3/1/3,16104,23798,70743,Marco Polo,3/0/2,13573,103291,60760,Mai Shiranui,3/1/4,11898,53164,53542,Sun Bin,0/0/6,7879,28336,67283,61309,10,8
0,Liu Bang,0/3/2,8255,14386,66114,Jing,3/2/0,12462,54426,57990,Genghis Khan,0/2/0,12256,52261,50036,Shen Mengxi,0/2/1,11524,133625,34295,Zhang Fei,0/1/0,7081,7382,80996,51578,3,0
0,Charlotte,4/5/5,17846,147357,127115,Agudo,2/3/9,14324,81150,192150,Yu Ji,7/4/2,18744,188290,119038,Shen Mengxi,4/3/7,16547,232471,64919,Lian Po,0/6/9,10440,43852,191162,77901,17,4
1,Lv Bu,0/2/6,15249,54395,222123,Naklulu,11/4/3,24508,111997,147569,Di Renjie,4/5/15,19440,183698,177670,Shangguan Wan'er,6/5/11,15712,199563,129223,Master Luban,0/1/16,12037,29519,158390,86946,21,9
