,Hero 1,Hero 2,Winning rate,# of rounds,# of winning rounds ▽
1907,Laofuzi,Daqiao,0.5277777777777778,108,57.0
105,Taiyi Zhenren,Tachibana Ukyo,0.37748344370860926,151,57.0
1483,Zhang Liang,Ma Chao,0.5714285714285714,98,56.0
236,Zhang Fei,Xishi,0.6666666666666666,84,56.0
866,Naklulu,Dun Shan,0.5185185185185185,108,56.0
21,Marco Polo,Jing,0.5913978494623656,93,55.0
122,Taiyi Zhenren,Bai Qi,0.5392156862745098,102,55.0
1648,Sun Bin,Ma Chao,0.47413793103448276,116,55.0
396,Lv Bu,Tachibana Ukyo,0.47413793103448276,116,55.0
409,Lv Bu,Ma Chao,0.8208955223880597,67,55.0
400,Lv Bu,Shen Mengxi,0.41353383458646614,133,55.0
23,Marco Polo,Bai Qi,0.5789473684210527,95,55.0
46,Marco Polo,Yang Jian,0.5242718446601942,103,54.0
307,Gongsun Li,Jiang Ziya,0.5094339622641509,106,54.0
600,Zhu Bajie,Jing,0.627906976744186,86,54.0
498,Guan Yu,Jiang Ziya,0.4864864864864865,111,54.0
588,Zhu Bajie,Sun Shangxiang,0.5454545454545454,99,53.99999999999999
786,Pei Qinhu,Bull Demon,0.5353535353535354,99,53.0
963,Sun Shangxiang,Mai Shiranui,0.4380165289256198,121,53.0
217,Zhang Fei,Laofuzi,0.6162790697674418,86,53.0
202,Zhang Fei,Zhu Bajie,0.4380165289256198,121,53.0
1395,Zhao Yun,Zhang Liang,0.7910447761194029,67,53.0
510,Guan Yu,Pangu,0.6309523809523809,84,53.0
1499,Zhang Liang,Master Luban,0.6625,80,53.0
1652,Sun Bin,Bai Qi,0.7428571428571429,70,52.0
1247,Lian Po,Daqiao,0.6753246753246753,77,52.0
32,Marco Polo,Guiguzi,0.7323943661971831,71,52.0
507,Guan Yu,Bull Demon,0.48598130841121495,107,52.0
780,Pei Qinhu,Su Lie,0.47706422018348627,109,52.0
1319,Jiang Ziya,Di Renjie,0.6410256410256411,78,50.00000000000001
1969,Jing,Bull Demon,0.6666666666666666,75,50.0
308,Gongsun Li,Zhao Yun,0.44642857142857145,112,50.0
1230,Lian Po,Jing,0.3937007874015748,127,50.0
593,Zhu Bajie,Zhao Yun,0.4854368932038835,103,50.0
119,Taiyi Zhenren,Laofuzi,0.45871559633027525,109,50.0
784,Pei Qinhu,Laofuzi,0.5154639175257731,97,49.99999999999999
29,Marco Polo,Lanlingwang,0.5154639175257731,97,49.99999999999999
1045,Shen Mengxi,Dun Shan,0.5975609756097561,82,49.0
501,Guan Yu,Su Lie,0.44545454545454544,110,49.0
1647,Sun Bin,Mai Shiranui,0.7424242424242424,66,49.0
890,Naklulu,Master Luban,0.7,70,49.0
337,Gongsun Li,Yang Yuhuan,0.5764705882352941,85,48.99999999999999
1574,Su Lie,Hua Mulan,0.5333333333333333,90,48.0
587,Zhu Bajie,Naklulu,0.3157894736842105,152,48.0
696,Tachibana Ukyo,Di Renjie,0.41739130434782606,115,48.0
1314,Jiang Ziya,Ma Chao,0.7384615384615385,65,48.0
112,Taiyi Zhenren,Jiang Ziya,0.384,125,48.0
212,Zhang Fei,Zhang Liang,0.5529411764705883,85,47.0
26,Marco Polo,Wang Zhaojun,0.6266666666666667,75,47.0
493,Guan Yu,Naklulu,0.47959183673469385,98,47.0
984,Sun Shangxiang,Xishi,0.5875,80,47.0
1971,Jing,Di Renjie,0.5949367088607594,79,46.99999999999999
8,Marco Polo,Naklulu,0.6714285714285714,70,46.99999999999999
585,Zhu Bajie,Tachibana Ukyo,0.4423076923076923,104,46.0
302,Gongsun Li,Naklulu,0.6052631578947368,76,46.0
682,Tachibana Ukyo,Shen Mengxi,0.3382352941176471,136,46.0
687,Tachibana Ukyo,Zhang Liang,0.37398373983739835,123,46.0
870,Naklulu,Zhang Liang,0.5227272727272727,88,46.0
683,Tachibana Ukyo,Dun Shan,0.5897435897435898,78,46.0
2135,Bai Qi,Master Luban,0.7894736842105263,57,45.0
1413,Zhao Yun,Meng Ya,0.6923076923076923,65,45.0
711,Tachibana Ukyo,Xishi,0.75,60,45.0
242,Zhang Fei,Meng Tian,0.625,72,45.0
1228,Lian Po,Ma Chao,0.6164383561643836,73,45.0
28,Marco Polo,Liu Bang,0.38596491228070173,114,44.0
879,Naklulu,Di Renjie,0.7586206896551724,58,44.0
1152,Dun Shan,Zhou Yu,0.5301204819277109,83,44.0
695,Tachibana Ukyo,Bai Qi,0.6417910447761194,67,43.0
1425,Zhao Yun,Meng Tian,0.7049180327868853,61,43.0
781,Pei Qinhu,Sun Bin,0.4777777777777778,90,43.0
878,Naklulu,Bai Qi,0.7166666666666667,60,43.0
339,Gongsun Li,Meng Tian,0.5180722891566265,83,43.0
200,Zhang Fei,Lv Bu,0.4479166666666667,96,43.0
707,Tachibana Ukyo,Master Luban,0.5972222222222222,72,43.0
43,Marco Polo,Yang Yuhuan,0.6417910447761194,67,43.0
316,Gongsun Li,Bull Demon,0.3739130434782609,115,43.0
297,Gongsun Li,Lv Bu,0.4479166666666667,96,43.0
215,Zhang Fei,Mai Shiranui,0.4883720930232558,86,42.0
795,Pei Qinhu,Xiahou Dun,0.5915492957746479,71,42.0
1975,Jing,Liu Bang,0.3559322033898305,118,42.0
994,Sun Shangxiang,Agudo,0.5121951219512195,82,42.0
1531,Zhang Liang,Houyi,0.9767441860465116,43,42.0
106,Taiyi Zhenren,Pei Qinhu,0.39622641509433965,106,42.0
27,Marco Polo,Hua Mulan,0.42,100,42.0
25,Marco Polo,Pangu,0.4375,96,42.0
495,Guan Yu,Shen Mengxi,0.42857142857142855,98,42.0
1330,Jiang Ziya,Master Luban,0.8076923076923077,52,42.0
2126,Bai Qi,Wang Zhaojun,0.5121951219512195,82,42.0
958,Sun Shangxiang,Jiang Ziya,0.5316455696202531,79,41.99999999999999
224,Zhang Fei,Hua Mulan,0.5061728395061729,81,41.0
22,Marco Polo,Bull Demon,0.3416666666666667,120,41.0
1005,Sun Shangxiang,Mozi,0.803921568627451,51,41.0
422,Lv Bu,Guiguzi,0.6833333333333333,60,41.0
698,Tachibana Ukyo,Wang Zhaojun,0.5189873417721519,79,41.0
2014,Jing,Houyi,1.0,41,41.0
37,Marco Polo,Ganjiang Moye,0.4823529411764706,85,41.0
2426,Hua Mulan,Guiguzi,0.6507936507936508,63,41.0
1672,Sun Bin,Yang Yuhuan,0.46511627906976744,86,40.0
685,Tachibana Ukyo,Jiang Ziya,0.4819277108433735,83,40.0
1140,Dun Shan,Mai Shiranui,0.5128205128205128,78,40.0
159,Taiyi Zhenren,Mozi,0.975609756097561,41,40.0
120,Taiyi Zhenren,Jing,0.46511627906976744,86,40.0
776,Pei Qinhu,Lian Po,0.43956043956043955,91,40.0
218,Zhang Fei,Jing,0.425531914893617,94,40.0
31,Marco Polo,Xiahou Dun,0.425531914893617,94,40.0
153,Taiyi Zhenren,Chang'e,0.75,52,39.0
617,Zhu Bajie,Daqiao,0.6610169491525424,59,39.0
497,Guan Yu,Lian Po,0.6190476190476191,63,39.0
2437,Hua Mulan,Yang Yuhuan,0.7090909090909091,55,39.0
412,Lv Bu,Bull Demon,0.42391304347826086,92,39.0
1745,Mai Shiranui,Master Luban,0.7647058823529411,51,39.0
508,Guan Yu,Bai Qi,0.639344262295082,61,39.0
681,Tachibana Ukyo,Sun Shangxiang,0.325,120,39.0
509,Guan Yu,Di Renjie,0.5131578947368421,76,39.0
1151,Dun Shan,Lanlingwang,0.4431818181818182,88,39.0
301,Gongsun Li,Pei Qinhu,0.5909090909090909,66,39.0
1315,Jiang Ziya,Laofuzi,0.609375,64,39.0
311,Gongsun Li,Sun Bin,0.5205479452054794,73,38.0
1410,Zhao Yun,Zhou Yu,0.5671641791044776,67,38.0
801,Pei Qinhu,Ganjiang Moye,0.6129032258064516,62,38.0
240,Zhang Fei,Yang Yuhuan,0.7037037037037037,54,38.0
3785,Agudo,Mozi,0.7916666666666666,48,38.0
522,Guan Yu,Ganjiang Moye,0.5671641791044776,67,38.0
959,Sun Shangxiang,Zhao Yun,0.4523809523809524,84,38.0
222,Zhang Fei,Pangu,0.475,80,38.0
1048,Shen Mengxi,Zhao Yun,0.4935064935064935,77,38.0
117,Taiyi Zhenren,Mai Shiranui,0.3584905660377358,106,38.0
957,Sun Shangxiang,Lian Po,0.3333333333333333,111,37.0
2351,Wang Zhaojun,Lanlingwang,0.6607142857142857,56,37.0
1734,Mai Shiranui,Di Renjie,0.5285714285714286,70,37.0
1676,Sun Bin,Diao Chan,0.6491228070175439,57,37.0
1839,Ma Chao,Agudo,0.6166666666666667,60,37.0
1895,Laofuzi,Wang Zhaojun,0.6065573770491803,61,37.0
871,Naklulu,Su Lie,0.3627450980392157,102,37.0
706,Tachibana Ukyo,Yu Ji,0.6379310344827587,58,37.0
612,Zhu Bajie,Meng Ya,0.6065573770491803,61,37.0
598,Zhu Bajie,Ma Chao,0.6727272727272727,55,37.0
791,Pei Qinhu,Hua Mulan,0.6166666666666667,60,37.0
205,Zhang Fei,Naklulu,0.3854166666666667,96,37.0
1913,Laofuzi,Li Yuanfang,0.6981132075471698,53,37.0
1980,Jing,Meng Ya,0.8809523809523809,42,37.0
802,Pei Qinhu,Daqiao,0.6851851851851852,54,37.0
1046,Shen Mengxi,Lian Po,0.22784810126582278,158,36.0
1059,Shen Mengxi,Pangu,0.6,60,36.0
1733,Mai Shiranui,Bai Qi,0.6428571428571429,56,36.0
2850,Meng Ya,Meng Tian,0.7659574468085106,47,36.0
532,Guan Yu,Diao Chan,0.6666666666666666,54,36.0
1731,Mai Shiranui,Jing,0.5737704918032787,61,35.0
620,Zhu Bajie,Shangguan Wan'er,0.49295774647887325,71,35.0
640,Zhu Bajie,Cai Wenji,0.9210526315789473,38,35.0
2124,Bai Qi,Di Renjie,0.660377358490566,53,35.0
1579,Su Lie,Guiguzi,0.5303030303030303,66,35.0
502,Guan Yu,Sun Bin,0.5833333333333334,60,35.0
248,Zhang Fei,Sun Ce,0.7446808510638298,47,35.0
1572,Su Lie,Pangu,0.7291666666666666,48,35.0
1050,Shen Mengxi,Su Lie,0.660377358490566,53,35.0
1986,Jing,Xishi,0.4605263157894737,76,35.0
539,Guan Yu,Chang'e,0.7777777777777778,45,35.0
1318,Jiang Ziya,Bai Qi,0.546875,64,35.0
231,Zhang Fei,Yu Ji,0.546875,64,35.0
1486,Zhang Liang,Bull Demon,0.6363636363636364,55,35.0
2234,Di Renjie,Luna,0.8292682926829268,41,34.0
1146,Dun Shan,Di Renjie,0.38636363636363635,88,34.0
1656,Sun Bin,Hua Mulan,0.8095238095238095,42,34.0
1898,Laofuzi,Lanlingwang,0.4788732394366197,71,34.0
1056,Shen Mengxi,Bull Demon,0.5666666666666667,60,34.0
882,Naklulu,Hua Mulan,0.6415094339622641,53,34.0
334,Gongsun Li,Yào,0.576271186440678,59,34.0
807,Pei Qinhu,Yang Yuhuan,0.6938775510204082,49,34.0
1135,Dun Shan,Jiang Ziya,0.37362637362637363,91,34.0
132,Taiyi Zhenren,Meng Ya,0.8292682926829268,41,34.0
1051,Shen Mengxi,Sun Bin,0.3626373626373626,91,33.0
319,Gongsun Li,Pangu,0.532258064516129,62,33.0
864,Naklulu,Sun Shangxiang,0.5789473684210527,57,33.0
111,Taiyi Zhenren,Lian Po,0.4583333333333333,72,33.0
127,Taiyi Zhenren,Liu Bang,0.6,55,33.0
1590,Su Lie,Yang Yuhuan,0.7333333333333333,45,33.0
1599,Su Lie,Yuan Ge,0.55,60,33.0
705,Tachibana Ukyo,Meng Ya,0.6875,48,33.0
692,Tachibana Ukyo,Laofuzi,0.515625,64,33.0
1812,Ma Chao,Bull Demon,0.6111111111111112,54,33.0
429,Lv Bu,Xishi,0.4583333333333333,72,33.0
1362,Jiang Ziya,Houyi,0.9428571428571428,35,33.0
310,Gongsun Li,Su Lie,0.375,88,33.0
2201,Di Renjie,Wang Zhaojun,0.5689655172413793,58,33.0
592,Zhu Bajie,Jiang Ziya,0.4266666666666667,75,32.0
875,Naklulu,Laofuzi,0.5517241379310345,58,32.0
1317,Jiang Ziya,Bull Demon,0.64,50,32.0
234,Zhang Fei,Ganjiang Moye,0.48484848484848486,66,32.0
1488,Zhang Liang,Di Renjie,0.5925925925925926,54,32.0
1497,Zhang Liang,Meng Ya,0.7441860465116279,43,32.0
1502,Zhang Liang,Daqiao,0.9142857142857143,35,32.0
787,Pei Qinhu,Bai Qi,0.5,64,32.0
519,Guan Yu,Yu Ji,0.5614035087719298,57,32.0
48,Marco Polo,Kuangtie,0.5614035087719298,57,32.0
1525,Zhang Liang,Cai Wenji,1.0,32,32.0
1072,Shen Mengxi,Daqiao,0.8421052631578947,38,32.0
1148,Dun Shan,Wang Zhaojun,0.4507042253521127,71,32.0
1164,Dun Shan,Cao Cao,0.5079365079365079,63,32.0
1134,Dun Shan,Lian Po,0.5,64,32.0
1818,Ma Chao,Liu Bang,0.5925925925925926,54,32.0
36,Marco Polo,Xiang Yu,0.43243243243243246,74,32.0
221,Zhang Fei,Di Renjie,0.34782608695652173,92,32.0
330,Gongsun Li,Xiang Yu,0.4050632911392405,79,32.0
503,Guan Yu,Mai Shiranui,0.6530612244897959,49,31.999999999999996
796,Pei Qinhu,Guiguzi,0.5254237288135594,59,31.000000000000004
355,Gongsun Li,Cai Wenji,0.5961538461538461,52,31.0
136,Taiyi Zhenren,Ganjiang Moye,0.6326530612244898,49,31.0
518,Guan Yu,Meng Ya,0.6326530612244898,49,31.0
2137,Bai Qi,Ganjiang Moye,0.775,40,31.0
1649,Sun Bin,Laofuzi,0.4189189189189189,74,31.0
1982,Jing,Master Luban,0.8611111111111112,36,31.0
1828,Ma Chao,Daqiao,0.96875,32,31.0
2430,Hua Mulan,Xiang Yu,0.49206349206349204,63,31.0
3040,Xiang Yu,Yang Yuhuan,0.6739130434782609,46,31.0
1979,Jing,Guiguzi,1.0,31,31.0
300,Gongsun Li,Tachibana Ukyo,0.3333333333333333,93,31.0
252,Zhang Fei,Da Mo,0.6458333333333334,48,31.0
3476,Yang Yuhuan,Dian Wei,0.8378378378378378,37,31.0
1161,Dun Shan,Xishi,0.6888888888888889,45,31.0
1143,Dun Shan,Jing,0.5740740740740741,54,31.0
452,Lv Bu,Toho Taiichi,0.5172413793103449,58,30.000000000000004
353,Gongsun Li,Luna,0.75,40,30.0
52,Marco Polo,Yuan Ge,0.47619047619047616,63,30.0
126,Taiyi Zhenren,Hua Mulan,0.5084745762711864,59,30.0
800,Pei Qinhu,Xiang Yu,0.4838709677419355,62,30.0
323,Gongsun Li,Lanlingwang,0.32967032967032966,91,30.0
597,Zhu Bajie,Mai Shiranui,0.3333333333333333,90,30.0
1834,Ma Chao,Li Yuanfang,0.6666666666666666,45,30.0
618,Zhu Bajie,Xishi,0.5555555555555556,54,30.0
55,Marco Polo,Da Mo,0.5882352941176471,51,30.0
2983,Master Luban,Agudo,0.9090909090909091,33,30.0
826,Pei Qinhu,Toho Taiichi,0.7317073170731707,41,30.0
605,Zhu Bajie,Wang Zhaojun,0.44776119402985076,67,30.0
716,Tachibana Ukyo,Li Yuanfang,0.5263157894736842,57,30.0
1079,Shen Mengxi,Meng Tian,0.625,48,30.0
314,Gongsun Li,Laofuzi,0.40540540540540543,74,30.0
515,Guan Yu,Zhou Yu,0.5555555555555556,54,30.0
511,Guan Yu,Wang Zhaojun,0.5882352941176471,51,30.0
220,Zhang Fei,Bai Qi,0.5454545454545454,55,29.999999999999996
1276,Lian Po,Houyi,0.6818181818181818,44,29.999999999999996
223,Zhang Fei,Wang Zhaojun,0.5769230769230769,52,29.999999999999996
312,Gongsun Li,Mai Shiranui,0.3409090909090909,88,29.999999999999996
1404,Zhao Yun,Di Renjie,0.6818181818181818,44,29.999999999999996
2782,Guiguzi,Yang Yuhuan,0.7073170731707317,41,29.0
2051,Bull Demon,Hua Mulan,0.5686274509803921,51,29.0
2200,Di Renjie,Pangu,0.5686274509803921,51,29.0
684,Tachibana Ukyo,Lian Po,0.3258426966292135,89,29.0
148,Taiyi Zhenren,Agudo,0.7435897435897436,39,29.0
2909,Yu Ji,Xishi,0.90625,32,29.0
331,Gongsun Li,Ganjiang Moye,0.4264705882352941,68,29.0
964,Sun Shangxiang,Ma Chao,0.4084507042253521,71,29.0
1522,Zhang Liang,Galo,0.725,40,29.0
123,Taiyi Zhenren,Di Renjie,0.48333333333333334,60,29.0
867,Naklulu,Lian Po,0.6829268292682927,41,28.000000000000004
1824,Ma Chao,Yu Ji,0.6829268292682927,41,28.000000000000004
51,Marco Polo,Sun Ce,0.4745762711864407,59,28.0
811,Pei Qinhu,Diao Chan,0.5283018867924528,53,28.0
320,Gongsun Li,Wang Zhaojun,0.4375,64,28.0
2978,Master Luban,Li Yuanfang,0.8484848484848485,33,28.0
896,Naklulu,Shangguan Wan'er,0.7777777777777778,36,28.0
967,Sun Shangxiang,Bull Demon,0.8484848484848485,33,28.0
1489,Zhang Liang,Pangu,0.7567567567567568,37,28.0
777,Pei Qinhu,Jiang Ziya,0.6086956521739131,46,28.0
410,Lv Bu,Laofuzi,0.509090909090909,55,27.999999999999996
1166,Dun Shan,Li Yuanfang,0.574468085106383,47,27.000000000000004
2357,Wang Zhaojun,Master Luban,0.6428571428571429,42,27.000000000000004
152,Taiyi Zhenren,Baili Shouyue,0.574468085106383,47,27.000000000000004
2008,Jing,Cai Wenji,0.7714285714285715,35,27.0
2637,Zhou Yu,Meng Ya,0.627906976744186,43,27.0
1155,Dun Shan,Meng Ya,0.5,54,27.0
324,Gongsun Li,Zhou Yu,0.35064935064935066,77,27.0
1069,Shen Mengxi,Master Luban,0.8181818181818182,33,27.0
326,Gongsun Li,Guiguzi,0.54,50,27.0
2431,Hua Mulan,Ganjiang Moye,0.54,50,27.0
2229,Di Renjie,Chang'e,0.8709677419354839,31,27.0
528,Guan Yu,Yang Yuhuan,0.6136363636363636,44,27.0
19,Marco Polo,Ma Chao,0.5625,48,27.0
42,Marco Polo,Cao Cao,0.627906976744186,43,27.0
773,Pei Qinhu,Sun Shangxiang,0.5625,48,27.0
965,Sun Shangxiang,Laofuzi,0.7428571428571429,35,26.0
524,Guan Yu,Xishi,0.7428571428571429,35,26.0
887,Naklulu,Guiguzi,0.4,65,26.0
520,Guan Yu,Master Luban,0.7647058823529411,34,26.0
1438,Zhao Yun,Galo,0.9285714285714286,28,26.0
517,Guan Yu,Guiguzi,0.49056603773584906,53,26.0
3179,Daqiao,Luna,0.6341463414634146,41,26.0
891,Naklulu,Xiang Yu,0.3939393939393939,66,26.0
916,Naklulu,Cai Wenji,0.6666666666666666,39,26.0
782,Pei Qinhu,Mai Shiranui,0.5306122448979592,49,26.0
1343,Jiang Ziya,Kuangtie,0.5416666666666666,48,26.0
1508,Zhang Liang,Li Yuanfang,0.7222222222222222,36,26.0
431,Lv Bu,Shangguan Wan'er,0.4482758620689655,58,26.0
1567,Su Lie,Laofuzi,0.48148148148148145,54,26.0
690,Tachibana Ukyo,Mai Shiranui,0.36619718309859156,71,26.0
402,Lv Bu,Lian Po,0.48148148148148145,54,26.0
1662,Sun Bin,Meng Ya,0.4406779661016949,59,26.0
227,Zhang Fei,Zhou Yu,0.30120481927710846,83,25.000000000000004
1078,Shen Mengxi,Li Yuanfang,0.9259259259259259,27,25.0
1137,Dun Shan,Zhang Liang,0.8620689655172413,29,25.0
47,Marco Polo,Diao Chan,0.5102040816326531,49,25.0
1172,Dun Shan,Yingzheng,0.5102040816326531,49,25.0
40,Marco Polo,Yào,0.5102040816326531,49,25.0
1147,Dun Shan,Pangu,0.373134328358209,67,25.0
145,Taiyi Zhenren,Yang Jian,0.5208333333333334,48,25.0
30,Marco Polo,Zhou Yu,0.44642857142857145,56,25.0
129,Taiyi Zhenren,Zhou Yu,0.5208333333333334,48,25.0
719,Tachibana Ukyo,Diao Chan,0.6944444444444444,36,25.0
50,Marco Polo,Yingzheng,0.4098360655737705,61,25.0
226,Zhang Fei,Lanlingwang,0.5434782608695652,46,25.0
1328,Jiang Ziya,Meng Ya,0.8620689655172413,29,25.0
873,Naklulu,Mai Shiranui,0.23809523809523808,105,25.0
543,Guan Yu,Galo,0.7142857142857143,35,25.0
688,Tachibana Ukyo,Su Lie,0.5,50,25.0
973,Sun Shangxiang,Liu Bang,0.35714285714285715,70,25.0
1738,Mai Shiranui,Liu Bang,0.5952380952380952,42,25.0
1816,Ma Chao,Wang Zhaojun,0.4807692307692308,52,25.0
623,Zhu Bajie,Li Yuanfang,0.6578947368421053,38,25.0
3001,Master Luban,Houyi,1.0,25,25.0
538,Guan Yu,Baili Shouyue,0.8064516129032258,31,25.0
406,Lv Bu,Su Lie,0.4807692307692308,52,25.0
325,Gongsun Li,Xiahou Dun,0.31645569620253167,79,25.0
1141,Dun Shan,Ma Chao,0.5333333333333333,45,24.0
233,Zhang Fei,Xiang Yu,0.7058823529411765,34,24.0
1145,Dun Shan,Bai Qi,0.5853658536585366,41,24.0
2979,Master Luban,Meng Tian,0.8571428571428571,28,24.0
1893,Laofuzi,Di Renjie,0.8,30,24.0
638,Zhu Bajie,Luna,0.7058823529411765,34,24.0
1234,Lian Po,Pangu,0.34285714285714286,70,24.0
62,Marco Polo,Toho Taiichi,0.5454545454545454,44,24.0
146,Taiyi Zhenren,Diao Chan,0.6486486486486487,37,24.0
415,Lv Bu,Pangu,0.5581395348837209,43,24.0
2776,Guiguzi,Ganjiang Moye,0.5333333333333333,45,24.0
1566,Su Lie,Ma Chao,0.5333333333333333,45,24.0
394,Lv Bu,Guan Yu,0.35294117647058826,68,24.0
915,Naklulu,Mozi,0.8,30,24.0
1491,Zhang Liang,Hua Mulan,0.5581395348837209,43,24.0
2446,Hua Mulan,Yuan Ge,0.43636363636363634,55,24.0
1399,Zhao Yun,Ma Chao,0.4,60,24.0
